,Car code,Consumption load (KWH) per 100 km,The amount of residual load KWH,KWH energy storage power,Power supply generation capacity (KW),Power supply capacity KW,Ms data recording time,Electricity price per hour KW,Traffic situation,Time to reach power supply ms,Distance traveled Km,Maximum number of cars in a crowd (cars),Charging / discharging frequency,Consumption range per km,Charger standard,Battery Type,
,26280,47,73,120,1320,10560,48,493,smooth,47,48,90,2,2,2,On-air battery,
,26502,76,164,240,720,5760,79,206,semi-heavy,60,57,218,2,2,1,Aluminum battery - air,
,26406,20,188,208,2080,16640,47,260,smooth,10,59,91,2,1,1,Molten salt battery,
,26533,78,42,120,1800,14400,97,527,heavy,52,9,182,2,1,2,Zinc-bromine battery,
,26576,74,226,300,3000,24000,68,468,smooth,20,21,135,1,2,2,Oxidation battery ‌ Vanadium reduction,
,26484,63,177,240,1200,9600,88,494,semi-heavy,18,31,61,2,1,1,Nickel-Cadmium battery,
,26327,50,70,120,1200,9600,49,423,smooth,55,28,128,2,2,1,Nickel battery - metal hydride,
,26300,40,560,600,7800,62400,33,273,heavy,25,11,24,2,2,2,Nickel-iron battery,
,26383,42,166,208,2704,21632,115,223,smooth,25,62,168,1,2,3,Acid battery,
,26491,35,85,120,1080,8640,120,379,semi-heavy,28,42,51,2,1,3,On-air battery,
,26664,21,219,240,480,3840,59,400,smooth,19,71,131,2,2,2,Aluminum battery - air,
,26757,40,80,120,1080,8640,62,312,smooth,12,79,212,1,1,3,Molten salt battery,
,26896,33,175,208,1248,9984,62,379,heavy,26,35,173,1,2,3,Zinc-bromine battery,
,27281,28,572,600,6600,52800,73,411,smooth,35,78,297,2,1,2,Oxidation battery ‌ Vanadium reduction,
,27245,66,142,208,1248,9984,47,483,semi-heavy,28,72,300,2,2,3,Nickel-Cadmium battery,
,27185,40,200,240,2880,23040,36,457,smooth,56,66,155,2,1,2,Nickel battery - metal hydride,
,27259,55,545,600,9000,72000,61,371,heavy,33,9,124,2,2,3,Nickel-iron battery,
,27211,42,78,120,720,5760,108,384,semi-heavy,14,37,222,2,1,3,Acid battery,
,27169,37,203,240,1440,11520,48,345,smooth,32,75,204,2,1,2,On-air battery,
,27085,54,246,300,600,4800,81,364,semi-heavy,39,17,224,1,2,1,Aluminum battery - air,
,27129,52,152,204,3264,26112,35,339,smooth,54,31,260,2,1,1,Molten salt battery,
,27010,75,525,600,6000,48000,68,260,heavy,30,24,245,1,2,3,Zinc-bromine battery,
,26953,46,254,300,3300,26400,77,357,smooth,11,75,116,2,1,3,Oxidation battery ‌ Vanadium reduction,
,26960,35,85,120,840,6720,69,307,semi-heavy,51,57,231,1,1,1,Nickel-Cadmium battery,
,26969,36,204,240,3360,26880,69,550,smooth,44,70,290,2,1,1,Nickel battery - metal hydride,
,26964,30,178,208,416,3328,80,206,heavy,26,71,97,2,2,3,Nickel-iron battery,
,26935,42,78,120,1920,15360,47,382,smooth,52,74,294,2,2,2,Acid battery,
,26932,76,224,300,600,4800,84,486,semi-heavy,33,51,45,1,1,1,On-air battery,
,26886,79,161,240,3840,30720,73,201,smooth,48,28,236,1,2,3,Aluminum battery - air,
